citizen_id,name,gender,birth_year,state,status,registered_date
CZ00073,Paul Igwe,Male,1965,Edo,Deceased,2016-12-31
CZ00074,Victor Moore,Female,2008,Rivers,Alive,2019-09-29
CZ00075,Helen Bello,Male,1948,Oyo,Alive,2020-11-12
CZ00076,Joy Aliyu,Female,1950,Rivers,Alive,2022-06-05
CZ00077,Halima Amadi,Female,1998,Oyo,Alive,2017-11-02
CZ00078,Chioma Clark,Female,1963,Anambra,Alive,2017-12-23
CZ00079,John Moore,Female,1961,Lagos,Alive,2021-07-30
CZ00080,Paul Sani,Male,1963,Rivers,Alive,2016-08-05
CZ00081,Rebecca Adeyemi,Male,1972,Delta,Alive,2017-03-17
CZ00082,Rita Nwosu,Female,1942,Lagos,Alive,2024-04-07
CZ00083,Daniel James,Female,1994,Kaduna,Alive,2021-04-23
CZ00084,Paul Balogun,Male,1967,Kano,Alive,2022-05-10
CZ00085,Emeka Okoro,Male,1960,Delta,Alive,2024-12-26
CZ00086,David Sani,Male,1951,Rivers,Alive,2016-03-02
CZ00087,Stella Miller,Male,2000,Oyo,Alive,2020-07-31
CZ00088,Rita Yusuf,Male,1977,Plateau,Alive,2019-02-17
CZ00089,James Brown,Male,1971,Lagos,Alive,2022-10-23
CZ00090,Frank Johnson,Male,2000,Lagos,Alive,2021-09-01
CZ00091,Paul James,Female,1990,Plateau,Alive,2022-02-16
CZ00092,Joy Smith,Female,1986,Anambra,Alive,2023-01-23
CZ00093,Chinedu White,Male,1991,Oyo,Alive,2024-07-22
CZ00094,Kemi Nwosu,Male,1979,Anambra,Alive,2016-11-07
CZ00095,James Uche,Female,1977,Enugu,Alive,2015-07-17
CZ00096,Kemi Obi,Male,1954,Lagos,Deceased,2016-10-09
CZ00097,Amina Nwosu,Male,1956,Borno,Alive,2022-01-18
CZ00098,Rebecca Abubakar,Male,1961,Sokoto,Alive,2021-01-15
CZ00099,Mary Eze,Male,1963,Delta,Alive,2016-01-30
CZ00100,Ngozi Yusuf,Female,2008,Borno,Alive,2019-06-26
CZ00101,Esther Chukwu,Female,1988,Lagos,Alive,2020-08-03
CZ00102,John Idris,Female,1958,Lagos,Alive,2023-09-26
CZ00103,Emeka Hassan,Female,2002,Rivers,Alive,2018-10-28
CZ00104,Joy James,Female,1984,Enugu,Alive,2016-04-17
CZ00105,Ibrahim White,Male,1997,Kaduna,Alive,2023-06-14
CZ00106,Amina Sani,Female,1984,Kano,Alive,2022-06-04
CZ00107,Paul Nwosu,Male,1982,Sokoto,Alive,2020-09-30
CZ00108,Michael Hassan,Male,2006,Kaduna,Alive,2015-07-11
CZ00109,Rita Sani,Female,1990,Rivers,Alive,2019-10-09
CZ00110,Chinedu Brown,Male,1939,Oyo,Alive,2016-11-08
CZ00111,Zainab Okafor,Male,1992,Oyo,Alive,2020-12-04
CZ00112,Ahmed Brown,Female,1958,Sokoto,Alive,2020-05-20
CZ00113,Amina Taylor,Female,1953,Enugu,Alive,2024-11-09
CZ00114,Sarah Davis,Female,1976,Borno,Alive,2024-03-17
CZ00115,Peter Idris,Male,2008,Enugu,Alive,2017-05-17
CZ00116,Stella Nwosu,Male,1938,Oyo,Alive,2017-02-16
CZ00117,Rita Aliyu,Male,1956,Plateau,Alive,2019-04-09
CZ00118,Ibrahim Okonkwo,Female,1941,Rivers,Alive,2023-06-17
CZ00119,Linda Adamu,Female,1949,Anambra,Alive,2015-11-02
CZ00120,Tunde Abubakar,Male,2000,Delta,Alive,2022-04-27
CZ00121,Paul Miller,Female,1985,Sokoto,Alive,2016-04-19
CZ00122,Blessing Garba,Male,1987,Enugu,Alive,2022-01-04
CZ00123,Tunde Lawal,Female,1952,Borno,Alive,2022-04-22
CZ00124,Victor Yusuf,Male,1946,Enugu,Alive,2015-01-15
CZ00125,Zainab Adeyemi,Male,1979,Sokoto,Alive,2020-08-28
CZ00126,Mary Adeyemi,Male,1957,Kaduna,Alive,2022-08-29
CZ00127,Funke Nwosu,Male,1976,Delta,Alive,2021-10-23
CZ00128,Samuel Williams,Male,1974,Edo,Alive,2018-08-29
CZ00129,Fatima Idris,Female,1972,Sokoto,Alive,2017-09-26
CZ00130,Esther Chukwu,Male,1973,Edo,Alive,2015-12-10
CZ00131,Stella Okoro,Female,1958,Rivers,Deceased,2019-12-01
CZ00132,Sarah Wilson,Female,1945,Sokoto,Alive,2020-06-15
CZ00133,Peter Danjuma,Male,1936,Sokoto,Alive,2018-06-22
CZ00134,Aisha Smith,Male,1943,Anambra,Alive,2021-06-09
CZ00135,Frank Igwe,Female,1991,Anambra,Alive,2017-02-02
CZ00136,Musa Sani,Male,1973,Kano,Alive,2016-10-15
CZ00137,Frank Chukwu,Female,1980,Edo,Alive,2023-05-09
CZ00138,Grace Igwe,Male,1945,Plateau,Alive,2024-12-18
CZ00139,Ngozi Okoro,Female,1995,Enugu,Alive,2024-05-20
CZ00140,Ngozi Danjuma,Female,1970,Oyo,Alive,2018-07-15
CZ00141,Tunde Amadi,Female,2003,Edo,Alive,2022-02-04
CZ00142,Emeka Yusuf,Male,2004,Borno,Alive,2016-01-23
CZ00143,Chioma Lawal,Female,1989,Delta,Alive,2018-01-12
CZ00144,Ngozi Aliyu,Female,1946,Delta,Alive,2024-07-04
CZ00145,Ibrahim Ojo,Male,1961,Borno,Alive,2022-10-24
CZ00146,James Aliyu,Male,1990,Sokoto,Alive,2022-09-01
CZ00147,Rebecca Lawal,Male,1990,Oyo,Alive,2022-12-23
CZ00148,Ibrahim Wilson,Female,1960,Plateau,Alive,2023-02-01
CZ00149,Rebecca James,Female,1964,Lagos,Alive,2017-10-28
CZ00150,Joy Taylor,Female,2000,Lagos,Alive,2022-08-13
CZ00151,Peter Nwosu,Male,1948,Kaduna,Alive,2016-12-01
CZ00152,Helen Obi,Female,2002,Sokoto,Deceased,2015-12-12
CZ00153,John Johnson,Female,2007,Delta,Alive,2016-11-21
CZ00154,Rebecca Wilson,Female,1994,Lagos,Alive,2016-08-21
CZ00155,Chioma White,Female,1992,Rivers,Alive,2023-12-31
CZ00156,Ahmed Taylor,Male,1961,Plateau,Alive,2024-04-18
CZ00157,Chioma Williams,Male,1978,Lagos,Alive,2019-04-11
CZ00158,Zainab Danjuma,Female,1996,Enugu,Alive,2024-02-08
CZ00159,Rebecca Johnson,Female,1953,Kaduna,Alive,2020-08-04
CZ00160,Linda Chukwu,Male,1993,Edo,Alive,2022-05-11
CZ00161,Paul Hassan,Female,1942,Edo,Alive,2022-03-24
CZ00162,Sarah Ojo,Female,1965,Anambra,Alive,2018-01-18
CZ00163,Musa Danjuma,Female,1964,Sokoto,Alive,2019-04-06
CZ00164,Zainab Brown,Female,1981,Enugu,Alive,2022-09-04
CZ00165,Paul Bello,Male,1970,Kano,Alive,2020-08-01
CZ00166,Andrew Chukwu,Female,1977,Edo,Alive,2020-11-24
CZ00167,Emeka Mohammed,Male,1957,Borno,Alive,2017-04-03
CZ00168,Joy Idris,Female,1997,Kano,Alive,2023-06-09
CZ00169,Amina Eze,Female,1998,Oyo,Alive,2023-12-07
CZ00170,Joseph Nwosu,Female,1961,Lagos,Alive,2022-04-10
CZ00171,Samuel Johnson,Female,1985,Delta,Alive,2021-05-13
CZ00172,Grace Idris,Female,1946,Delta,Alive,2024-11-02
CZ00173,John Davis,Female,1984,Edo,Alive,2015-09-10
CZ00174,Joy Hassan,Female,1938,Lagos,Alive,2016-06-07
CZ00175,John James,Female,1975,Sokoto,Alive,2022-12-18
CZ00176,Linda White,Female,1941,Enugu,Alive,2018-06-10
CZ00177,Chioma Adeyemi,Male,1956,Delta,Alive,2024-04-14
CZ00178,Emeka Aliyu,Male,1984,Delta,Alive,2017-07-11
CZ00179,Mary Eze,Female,1990,Sokoto,Alive,2023-11-26
CZ00180,Aisha Garba,Female,1995,Anambra,Alive,2015-10-17
CZ00181,Rita Taylor,Male,2003,Plateau,Alive,2017-06-08
CZ00182,James Adamu,Female,1985,Delta,Alive,2015-01-06
CZ00183,Aisha Okafor,Female,1968,Kano,Alive,2017-01-08
CZ00184,Emeka Adeyemi,Male,2008,Oyo,Alive,2022-02-28
CZ00185,Samuel Brown,Female,1996,Kaduna,Alive,2024-09-12
CZ00186,Amina Okonkwo,Female,1971,Edo,Alive,2018-05-08
CZ00187,Joy Wilson,Female,1961,Delta,Alive,2024-10-16
CZ00188,Zainab Danjuma,Male,1969,Oyo,Alive,2017-11-25
CZ00189,George Ojo,Female,1963,Plateau,Deceased,2018-07-12
CZ00190,Zainab Smith,Male,1941,Delta,Alive,2023-12-20
CZ00191,Kemi Adamu,Female,1989,Anambra,Alive,2016-09-24
CZ00192,Aisha Clark,Female,1964,Rivers,Alive,2024-10-14
CZ00193,Aisha Moore,Male,1978,Anambra,Alive,2021-04-06
CZ00194,Chinedu Clark,Female,1968,Edo,Alive,2018-03-10
CZ00195,Mary Lawal,Male,1974,Anambra,Alive,2015-10-02
CZ00196,Zainab Taylor,Female,1979,Anambra,Alive,2022-12-22
CZ00197,Halima Garba,Female,1963,Plateau,Alive,2017-02-06
CZ00198,Tobi Davis,Female,1945,Edo,Alive,2015-11-09
CZ00199,Victor Smith,Female,2007,Enugu,Alive,2024-09-27
CZ00200,Andrew Wilson,Female,1945,Oyo,Alive,2018-06-25
CZ00201,Musa Amadi,Male,2001,Lagos,Alive,2019-03-11
CZ00202,Esther Moore,Female,1937,Rivers,Alive,2019-05-10
CZ00203,Esther Suleiman,Male,1956,Plateau,Alive,2015-05-08
CZ00204,Fatima Davis,Female,1944,Delta,Alive,2016-10-12
CZ00205,Stella Yusuf,Male,1991,Lagos,Alive,2015-11-19
CZ00206,Rita Nnamdi,Male,1952,Anambra,Alive,2021-08-15
CZ00207,Samuel Okonkwo,Male,1942,Delta,Alive,2016-06-11
CZ00208,Samuel Sani,Male,1973,Rivers,Alive,2019-01-03
CZ00209,Rebecca Mohammed,Female,2006,Borno,Alive,2019-09-24
CZ00210,Esther Adeyemi,Female,1963,Lagos,Alive,2018-06-02
CZ00211,Andrew Okoro,Male,1972,Plateau,Alive,2018-12-03
CZ00212,Ahmed Moore,Male,1939,Enugu,Alive,2020-05-21
CZ00213,Emeka Clark,Male,1982,Lagos,Alive,2018-10-20
CZ00214,Funke Clark,Male,1953,Enugu,Alive,2016-05-24
CZ00215,Paul Idris,Male,1953,Kaduna,Alive,2017-03-28
CZ00216,Amina Obi,Male,1993,Plateau,Deceased,2024-01-03
CZ00217,Paul Aliyu,Male,1968,Anambra,Alive,2021-04-28
CZ00218,Peter Smith,Male,1981,Kano,Alive,2015-11-25
CZ00219,Ibrahim Igwe,Female,1944,Oyo,Alive,2017-08-01
CZ00220,Tobi Aliyu,Female,1976,Rivers,Alive,2018-03-09
CZ00221,David Sani,Male,1990,Rivers,Alive,2021-10-23
CZ00222,Frank Bello,Female,2005,Enugu,Alive,2019-05-16
CZ00223,Stella Wilson,Female,1955,Plateau,Alive,2015-12-19
CZ00224,Paul Suleiman,Female,1993,Kano,Alive,2024-06-30
CZ00225,Esther Amadi,Male,1969,Oyo,Alive,2022-07-16
CZ00226,Michael Mohammed,Male,1935,Plateau,Deceased,2018-10-15
CZ00227,John Okoro,Male,2005,Kaduna,Alive,2020-09-25
CZ00228,Stella Aliyu,Male,1962,Enugu,Deceased,2023-12-11
CZ00229,Paul Okafor,Female,1993,Rivers,Alive,2015-04-26
CZ00230,Ngozi Aliyu,Female,1960,Anambra,Alive,2018-01-31
CZ00231,Fatima Okonkwo,Male,1952,Rivers,Alive,2019-03-03
CZ00232,Chioma Ojo,Female,1999,Anambra,Alive,2023-06-03
CZ00233,Funke Abubakar,Male,1987,Delta,Alive,2020-01-04
CZ00234,Michael Garba,Male,1980,Anambra,Alive,2020-08-12
CZ00235,Helen White,Female,1957,Kano,Alive,2015-06-11
CZ00236,Helen Adeyemi,Female,1936,Borno,Alive,2015-02-06
CZ00237,Chioma Miller,Female,1972,Kaduna,Deceased,2021-01-29
CZ00238,Amina Davis,Female,1975,Plateau,Alive,2023-02-03
CZ00239,Aisha Okafor,Female,1938,Delta,Alive,2020-03-28
CZ00240,Joy Williams,Female,1949,Kaduna,Alive,2015-05-25
CZ00241,Chinedu Okoro,Female,1971,Edo,Alive,2015-11-23
CZ00242,David Davis,Male,1936,Rivers,Alive,2015-05-16
CZ00243,Rita Okoro,Female,1986,Edo,Alive,2024-04-06
CZ00244,Halima Adamu,Male,1948,Delta,Alive,2020-12-23
CZ00245,Helen Eze,Male,1998,Kaduna,Alive,2017-06-25
CZ00246,Linda Adeyemi,Male,1988,Oyo,Alive,2019-05-25
CZ00247,Mary Davis,Female,2000,Plateau,Alive,2023-12-13
CZ00248,Daniel Smith,Male,1993,Edo,Deceased,2017-08-11
CZ00249,James Moore,Male,1948,Kano,Alive,2020-01-10
CZ00250,Linda Eze,Female,1941,Anambra,Alive,2018-01-24
CZ00251,Peter Abubakar,Male,1953,Kano,Alive,2024-07-11
CZ00252,Esther Sani,Female,1964,Oyo,Alive,2015-01-25
CZ00253,Helen Clark,Female,1997,Sokoto,Deceased,2020-04-26
CZ00254,Kemi Danjuma,Male,2008,Delta,Alive,2024-01-19
CZ00255,Zainab Uche,Female,1978,Plateau,Alive,2021-03-14
CZ00256,Rita Adeyemi,Male,1960,Delta,Alive,2021-01-10
CZ00257,Linda Taylor,Female,1955,Edo,Alive,2020-11-01
CZ00258,George Abubakar,Male,2006,Edo,Alive,2022-02-17
CZ00259,Ibrahim James,Female,1982,Delta,Alive,2015-03-25
CZ00260,Chioma Eze,Male,1983,Lagos,Alive,2017-02-02
CZ00261,Linda Hassan,Female,1989,Delta,Alive,2016-12-24
CZ00262,Kemi Johnson,Male,1967,Borno,Alive,2016-01-04
CZ00263,Rebecca Nwosu,Female,1978,Kano,Alive,2024-05-03
CZ00264,Sarah Obi,Male,1938,Oyo,Alive,2021-11-30
CZ00265,Victor Mohammed,Male,1967,Enugu,Alive,2015-11-07
CZ00266,Chioma Okoro,Male,2006,Kano,Alive,2019-07-27
CZ00267,Chioma Igwe,Male,1952,Anambra,Alive,2023-07-16
CZ00268,Paul Adeyemi,Male,2005,Kano,Alive,2015-10-30
CZ00269,Sarah James,Male,1948,Sokoto,Alive,2024-03-17
CZ00270,Peter Brown,Female,2007,Oyo,Alive,2021-01-07
CZ00271,Ahmed Uche,Male,1942,Kano,Alive,2024-11-08
CZ00272,James Johnson,Female,1972,Anambra,Alive,2024-11-02
CZ00273,Peter Clark,Male,1936,Anambra,Alive,2023-02-23
CZ00274,Aisha Okoro,Male,1980,Borno,Alive,2018-07-12
CZ00275,Grace Smith,Female,1988,Plateau,Alive,2015-08-02
CZ00276,Grace Nwosu,Female,1946,Sokoto,Deceased,2018-11-30
CZ00277,Daniel Johnson,Female,1983,Kano,Alive,2016-05-30
CZ00278,Daniel Garba,Male,1958,Sokoto,Alive,2016-02-02
CZ00279,Helen Williams,Male,1982,Lagos,Deceased,2016-09-18
CZ00280,Mary Abubakar,Female,1978,Plateau,Alive,2019-10-03
CZ00281,Paul Aliyu,Female,1937,Oyo,Alive,2021-05-30
CZ00282,Mary Yusuf,Male,1956,Rivers,Alive,2019-08-23
CZ00283,Samuel Suleiman,Male,1981,Plateau,Alive,2023-11-28
CZ00284,Rebecca Suleiman,Female,1983,Kaduna,Alive,2021-04-23
CZ00285,Rebecca Amadi,Male,1980,Delta,Alive,2019-01-05
CZ00286,Victor Hassan,Female,1992,Kaduna,Alive,2017-06-24
CZ00287,George Balogun,Male,1944,Kaduna,Alive,2015-09-27
CZ00288,Kemi Hassan,Male,1960,Oyo,Alive,2023-05-04
CZ00289,David White,Male,1938,Oyo,Alive,2016-10-25
CZ00290,Amina Yusuf,Female,1984,Oyo,Alive,2019-06-13
CZ00291,John Nwosu,Male,1977,Plateau,Alive,2017-12-17
CZ00292,Blessing White,Male,1972,Sokoto,Alive,2021-08-28
CZ00293,Paul Abubakar,Male,2008,Borno,Alive,2016-12-18
CZ00294,Paul Danjuma,Female,1944,Plateau,Alive,2021-01-04
CZ00295,Musa Yusuf,Female,1955,Anambra,Alive,2024-07-17
CZ00296,Musa Uche,Male,2002,Sokoto,Alive,2017-03-18
CZ00297,Halima Umeh,Male,1965,Plateau,Deceased,2023-06-21
CZ00298,Ibrahim Lawal,Male,1995,Anambra,Alive,2021-06-05
CZ00299,Peter Johnson,Male,1993,Delta,Alive,2015-04-15
CZ00300,Halima Adamu,Female,1986,Enugu,Alive,2022-12-18
CZ00301,Tunde Umeh,Male,1952,Rivers,Alive,2023-02-26
CZ00302,Kemi Umeh,Female,1986,Delta,Alive,2018-10-03
CZ00303,John Abubakar,Male,1936,Enugu,Alive,2018-10-12
CZ00304,Samuel Balogun,Female,1998,Enugu,Alive,2016-11-17
CZ00305,Ahmed White,Male,1974,Kano,Alive,2022-02-09
CZ00306,Aisha Amadi,Female,2001,Sokoto,Alive,2016-09-07
CZ00307,Tunde Ojo,Male,1974,Delta,Alive,2024-04-01
CZ00308,Paul Chukwu,Female,1942,Kaduna,Alive,2019-07-24
CZ00309,Rita White,Female,1969,Rivers,Alive,2021-02-14
CZ00310,Ibrahim Hassan,Male,1958,Borno,Alive,2016-08-06
CZ00311,Samuel Sani,Male,1937,Kano,Alive,2022-12-01
CZ00312,Ibrahim Amadi,Male,1944,Anambra,Alive,2017-03-09
CZ00313,Aisha Uche,Male,1999,Oyo,Alive,2015-10-13
CZ00314,Chinedu Igwe,Male,1974,Plateau,Alive,2019-08-09
CZ00315,Daniel Davis,Male,1950,Anambra,Alive,2021-01-31
CZ00316,Fatima Clark,Female,1958,Kaduna,Alive,2016-04-24
CZ00317,Joy Eze,Male,1957,Sokoto,Alive,2018-01-05
CZ00318,Mary Miller,Female,1976,Lagos,Alive,2018-08-11
CZ00319,Stella Smith,Female,1987,Oyo,Alive,2022-02-26
CZ00320,Paul Uche,Female,1964,Kaduna,Alive,2016-09-05
CZ00321,Daniel Hassan,Male,1984,Kano,Alive,2022-02-08
CZ00322,Grace Idris,Male,2000,Anambra,Alive,2023-05-10
CZ00323,James Uche,Male,1973,Kano,Alive,2018-12-17
CZ00324,Helen Chukwu,Female,1936,Lagos,Alive,2018-01-21
CZ00325,Blessing Mohammed,Male,1996,Enugu,Alive,2017-05-14
CZ00326,Chinedu Moore,Male,2004,Plateau,Alive,2021-01-05
CZ00327,Tobi Balogun,Male,1964,Edo,Alive,2018-01-21
CZ00328,John Brown,Female,1975,Oyo,Alive,2018-02-03
CZ00329,Joy Miller,Male,2002,Kaduna,Alive,2024-05-22
CZ00330,Blessing Adamu,Male,1971,Plateau,Alive,2019-08-15
CZ00331,Sarah Suleiman,Male,1944,Kaduna,Alive,2023-10-15
CZ00332,Andrew Clark,Male,1984,Edo,Alive,2018-08-13
CZ00333,Emeka Suleiman,Female,1982,Rivers,Alive,2020-12-25
CZ00334,Michael Ojo,Male,1949,Edo,Alive,2022-04-03
CZ00335,John Abubakar,Male,1965,Enugu,Alive,2015-12-18
CZ00336,Zainab Wilson,Male,1982,Enugu,Deceased,2015-09-09
CZ00337,Emeka Danjuma,Female,1955,Delta,Alive,2019-06-24
CZ00338,Grace White,Male,2003,Rivers,Alive,2020-05-03
CZ00339,Linda Bello,Female,1959,Lagos,Alive,2023-01-28
CZ00340,Mary Okoro,Female,1944,Plateau,Alive,2022-08-15
CZ00341,Emeka Mohammed,Male,1967,Plateau,Alive,2016-03-12
CZ00342,Paul Balogun,Male,1967,Rivers,Alive,2020-03-24
CZ00343,Mary Abubakar,Female,1968,Oyo,Alive,2015-05-30
CZ00344,Joseph Mohammed,Male,1940,Anambra,Alive,2021-02-08
CZ00345,Mary Bello,Female,1971,Sokoto,Alive,2017-08-27
CZ00346,Joy Igwe,Male,2005,Delta,Alive,2019-10-14
CZ00347,Tobi Smith,Female,2001,Anambra,Alive,2023-06-24
CZ00348,James Adamu,Male,1947,Enugu,Alive,2018-01-17
CZ00349,Samuel James,Female,2002,Rivers,Alive,2021-03-17
CZ00350,Musa Obi,Male,1984,Kano,Alive,2020-03-15
CZ00351,John Nwosu,Male,2000,Borno,Alive,2018-04-03
CZ00352,Tobi Aliyu,Male,2007,Delta,Alive,2015-11-06
CZ00353,Ngozi Adeyemi,Female,1988,Borno,Alive,2021-01-02
CZ00354,Sarah Danjuma,Female,1951,Anambra,Alive,2016-02-21
CZ00355,George Amadi,Female,1939,Kano,Alive,2017-08-05
CZ00356,Ahmed Garba,Male,1966,Kano,Alive,2017-08-06
CZ00357,Kemi Okonkwo,Female,1949,Kaduna,Alive,2024-11-20
CZ00358,Blessing Wilson,Female,1988,Oyo,Alive,2016-09-12
CZ00359,John James,Male,1974,Oyo,Alive,2016-12-21
CZ00360,Chioma Wilson,Female,1960,Oyo,Alive,2017-10-02
CZ00361,Rebecca Suleiman,Male,1980,Lagos,Alive,2017-08-31
CZ00362,Stella Chukwu,Male,1940,Anambra,Alive,2017-08-25
CZ00363,Andrew Taylor,Male,1986,Borno,Alive,2024-05-17
CZ00364,Kemi Okafor,Male,1994,Enugu,Alive,2017-11-21
CZ00365,Mary Sani,Female,1982,Edo,Alive,2021-02-10
CZ00366,Ibrahim Smith,Female,1939,Enugu,Alive,2019-01-06
CZ00367,Joseph Eze,Female,1997,Plateau,Alive,2018-09-30
CZ00368,Musa Chukwu,Female,1948,Borno,Alive,2016-03-10
CZ00369,Daniel Smith,Female,1975,Borno,Alive,2024-05-25
CZ00370,Andrew Sani,Female,1953,Delta,Alive,2015-03-24
CZ00371,Peter Nwosu,Male,1990,Kaduna,Alive,2023-08-11
CZ00372,Chinedu Clark,Female,1971,Plateau,Alive,2015-12-29
CZ00373,Chinedu Johnson,Male,1999,Plateau,Alive,2021-01-20
CZ00374,Michael Igwe,Male,1944,Kaduna,Alive,2021-01-17
CZ00375,Stella Danjuma,Male,1973,Plateau,Alive,2020-07-12
CZ00376,Chioma Chukwu,Male,1990,Lagos,Alive,2018-07-24
CZ00377,George Garba,Male,1947,Borno,Alive,2017-02-19
CZ00378,Mary Umeh,Female,1992,Sokoto,Alive,2024-12-21
CZ00379,Esther Uche,Male,1951,Sokoto,Alive,2021-02-23
CZ00380,Joy Abubakar,Female,1969,Kano,Alive,2015-05-08
CZ00381,Grace Smith,Male,1966,Delta,Alive,2024-01-16
CZ00382,Samuel Smith,Male,1944,Plateau,Alive,2020-04-07
CZ00383,Linda Okonkwo,Female,1966,Rivers,Alive,2018-11-14
CZ00384,Linda Miller,Female,1990,Sokoto,Alive,2018-02-15
CZ00385,Emeka Aliyu,Male,1979,Kaduna,Alive,2019-04-22
